Date,Open,High,Low,Close,Adj Close,Volume,% change
2022-05-17,97.830002,98.290001,95.669998,97.550003,94.146072,5576300,0.017312
2022-05-18,97.980003,98.199997,94.519997,96.209999,92.852829,6277700,-0.013737
2022-05-19,94.250000,97.730003,94.019997,95.760002,92.418526,7399700,-0.004677
2022-05-20,96.480003,97.459999,94.489998,96.559998,93.190605,5892900,0.008354
2022-05-23,97.629997,98.949997,96.139999,96.910004,93.528397,5440200,0.003625
2022-05-24,95.889999,97.839996,95.209999,97.300003,93.904793,3941300,0.004024
2022-05-25,97.269997,100.080002,97.099998,99.019997,95.564766,5486200,0.017677
2022-05-26,99.769997,100.360001,98.760002,99.480003,96.008720,4520600,0.004646
2022-05-27,99.690002,102.550003,99.589996,102.099998,98.537300,5987400,0.026337
2022-05-31,102.910004,104.610001,101.430000,101.790001,98.238113,11267100,-0.003036
2022-06-01,102.860001,104.610001,101.660004,103.910004,100.284142,5366600,0.020827
2022-06-02,103.199997,104.629997,102.680000,104.269997,100.631569,5154200,0.003464
2022-06-03,104.419998,106.139999,104.269997,105.620003,101.934471,5665400,0.012947
2022-06-06,105.830002,110.309998,105.809998,109.389999,105.572922,7557300,0.035694
2022-06-07,108.779999,113.660004,108.769997,113.650002,109.684265,7723900,0.038943
2022-06-08,114.059998,114.349998,112.470001,112.870003,108.931488,6385400,-0.006863
2022-06-09,112.519997,113.459999,111.300003,111.360001,107.474182,6594400,-0.013378
2022-06-10,109.269997,110.889999,106.970001,108.339996,104.559555,7420300,-0.027119
2022-06-13,104.730003,105.800003,101.290001,102.169998,98.604858,8749100,-0.056950
2022-06-14,104.699997,106.750000,101.209999,102.669998,99.087402,8432800,0.004894
2022-06-15,102.980003,103.279999,96.839996,98.900002,95.448967,13175800,-0.036719
2022-06-16,96.540001,97.570000,91.209999,91.980003,88.770424,14308200,-0.069970
2022-06-17,91.739998,92.459999,85.629997,87.290001,84.244080,26759300,-0.050989
2022-06-21,89.980003,92.860001,89.510002,91.360001,88.172058,11309200,0.046626
2022-06-22,87.629997,91.120003,87.440002,89.059998,85.952316,9818400,-0.025175
2022-06-23,90.220001,90.480003,83.599998,84.629997,81.676903,9130000,-0.049742
2022-06-24,85.900002,88.029999,84.550003,85.680000,82.690254,20112500,0.012407
2022-06-27,87.269997,88.580002,86.070000,87.940002,84.871391,5225400,0.026377
2022-06-28,89.519997,91.349998,87.629997,88.690002,85.595230,5305600,0.008529
2022-06-29,89.709999,90.300003,84.139999,84.480003,81.532135,5066300,-0.047469
