Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß,10-yr yield,VIX Close,VIX % change
2018-01-02,55.090000,55.509998,54.820000,55.320000,45.076347,3985200,0.007834,0.013312,0.211328,0.008303,-0.144800,,2.46,9.77,-0.115036231884058
2018-01-03,55.380001,56.389999,55.330002,56.340000,45.907471,4105800,0.018438,0.013794,0.218969,0.006399,0.116393,,2.44,9.15,-0.0634595701125896
2018-01-04,56.410000,57.189999,56.090000,56.990002,46.437119,4897200,0.011537,0.013468,0.213791,0.004029,0.079055,,2.46,9.22,0.00765027322404372
2018-01-05,56.680000,56.910000,56.180000,56.880001,46.347496,3771900,-0.001930,0.013585,0.215651,0.007034,0.051378,,2.47,9.22,0
2018-01-08,56.759998,57.459999,56.590000,57.459999,46.820087,4522900,0.010197,0.013380,0.212405,0.001662,0.340948,,2.49,9.52,0.0325379609544469
2018-01-09,57.470001,58.320000,57.410000,57.930000,47.203056,5519700,0.008180,0.013339,0.211747,0.001303,0.430350,,2.55,10.08,0.0588235294117647
2018-01-10,58.139999,58.279999,57.560001,57.650002,46.974907,4627900,-0.004833,0.013733,0.218002,-0.001112,0.634359,,2.55,9.82,-0.0257936507936508
2018-01-11,58.169998,59.480000,57.540001,59.180000,48.221600,7341800,0.026540,0.013330,0.211603,0.007034,1.392704,,2.54,9.88,0.00610997963340122
2018-01-12,59.389999,60.240002,59.119999,60.049999,48.930481,6742100,0.014700,0.011550,0.183355,0.006750,1.501644,,2.55,10.16,0.0283400809716599
2018-01-16,60.000000,60.220001,58.799999,58.840000,47.944557,5458600,-0.020149,0.012977,0.206004,-0.003524,1.766509,,2.54,11.66,0.147637795275591
2018-01-17,58.970001,60.189999,58.779999,59.860001,48.775681,5798400,0.017335,0.013243,0.210224,0.009415,1.994209,,2.57,11.91,0.0214408233276158
2018-01-18,59.619999,60.060001,59.150002,59.759998,48.694195,4554800,-0.001671,0.012581,0.199724,-0.001616,1.852441,,2.62,12.22,0.0260285474391268
2018-01-19,59.680000,59.810001,59.270000,59.750000,48.686047,5037500,-0.000167,0.012165,0.193120,0.004385,1.774583,,2.64,11.27,-0.0777414075286416
2018-01-22,59.860001,60.680000,59.790001,60.669998,49.435699,5748800,0.015398,0.011977,0.190123,0.008067,1.974827,,2.66,11.03,-0.0212954747116238
2018-01-23,60.610001,60.700001,60.029999,60.470001,49.272724,5478800,-0.003297,0.012300,0.195249,0.002174,2.188199,,2.63,11.1,0.00634632819582956
2018-01-24,60.540001,61.320000,60.450001,60.490002,49.289028,4992000,0.000331,0.011887,0.188698,-0.000560,2.045564,,2.65,11.47,0.0333333333333333
2018-01-25,60.750000,60.900002,59.400002,59.480000,48.466053,5473400,-0.016697,0.013058,0.207293,0.000603,2.186098,,2.63,11.58,0.00959023539668701
2018-01-26,59.700001,60.520000,59.610001,60.389999,49.207535,5277700,0.015299,0.013352,0.211962,0.011841,2.120110,,2.66,11.08,-0.0431778929188256
2018-01-29,59.919998,60.529999,59.560001,59.660000,48.612728,4167600,-0.012088,0.013920,0.220979,-0.006732,1.993001,,2.7,13.84,0.249097472924188
2018-01-30,58.939999,59.320000,58.080002,58.459999,47.634914,6381000,-0.020114,0.015081,0.239406,-0.010899,1.863632,,2.73,14.79,0.0686416184971098
2018-01-31,58.529999,59.240002,58.279999,58.810001,47.920109,7073700,0.005987,0.015050,0.238910,0.000489,1.845326,,2.72,13.54,-0.0845165652467884
2018-02-01,59.000000,59.970001,58.150002,59.349998,48.360115,7011000,0.009182,0.013462,0.213706,-0.000648,1.646767,,2.78,13.47,-0.0051698670605613
